id,country
ZDB-LAB-050519-2,US
ZDB-LAB-050906-1,US
ZDB-LAB-050914-2,US
ZDB-LAB-051017-1,US
ZDB-LAB-051101-1,US
ZDB-LAB-051219-1,US
ZDB-LAB-060130-1,US
ZDB-LAB-060223-1,US
ZDB-LAB-060323-1,US
ZDB-LAB-060731-2,US
ZDB-LAB-060808-2,US
ZDB-LAB-061018-1,US
ZDB-LAB-061024-1,US
ZDB-LAB-070117-1,US
ZDB-LAB-070209-1,US
ZDB-LAB-070315-1,US
ZDB-LAB-070402-1,US
ZDB-LAB-070522-1,US
ZDB-LAB-080122-1,US
ZDB-LAB-080313-1,US
ZDB-LAB-080428-1,US
ZDB-LAB-080519-2,US
ZDB-LAB-080806-1,US
ZDB-LAB-081023-1,US
ZDB-LAB-081125-1,US
ZDB-LAB-090216-1,US
ZDB-LAB-090227-1,US
ZDB-LAB-090325-3,US
ZDB-LAB-090508-1,US
ZDB-LAB-090707-1,US
ZDB-LAB-090710-3,US
ZDB-LAB-090811-1,US
ZDB-LAB-100108-1,US
ZDB-LAB-100305-1,US
ZDB-LAB-100414-1,US
ZDB-LAB-100514-1,US
ZDB-LAB-100630-1,US
ZDB-LAB-100713-1,US
ZDB-LAB-100714-1,US
ZDB-LAB-100817-1,US
ZDB-LAB-100922-1,US
ZDB-LAB-101020-1,US
ZDB-LAB-101028-1,US
ZDB-LAB-101206-2,US
ZDB-LAB-110302-1,US
ZDB-LAB-110308-1,US
ZDB-LAB-110706-1,US
ZDB-LAB-110802-2,US
ZDB-LAB-110831-1,US
ZDB-LAB-110912-3,US
ZDB-LAB-110923-1,US
ZDB-LAB-111101-1,US
ZDB-LAB-111128-1,US
ZDB-LAB-120105-1,US
ZDB-LAB-120209-1,US
ZDB-LAB-120209-4,US
ZDB-LAB-120216-1,US
ZDB-LAB-120409-1,US
ZDB-LAB-120524-1,US
ZDB-LAB-120626-1,US
ZDB-LAB-120716-1,US
ZDB-LAB-120827-1,US
ZDB-LAB-120924-1,US
ZDB-LAB-121002-1,US
ZDB-LAB-121114-1,US
ZDB-LAB-130116-1,US
ZDB-LAB-130325-1,US
ZDB-LAB-130625-1,US
ZDB-LAB-130823-1,US
ZDB-LAB-131010-2,US
ZDB-LAB-140121-1,US
ZDB-LAB-140916-1,US
ZDB-LAB-150205-4,US
ZDB-LAB-150304-2,US
ZDB-LAB-150319-1,US
ZDB-LAB-150518-1,US
ZDB-LAB-150805-2,US
ZDB-LAB-150818-1,US
ZDB-LAB-150911-2,US
ZDB-LAB-150914-3,US
ZDB-LAB-151201-1,US
ZDB-LAB-160113-2,US
ZDB-LAB-160115-2,US
ZDB-LAB-160222-3,US
ZDB-LAB-160317-1,US
ZDB-LAB-160509-1,US
