expid,cdtid,zecoid,aoTermId,chebiTermId,ccTermId,extra
ZDB-EXP-060915-1,ZECO:0000146,,none,none,,,
ZDB-EXP-060915-2,ZECO:0000146,,none,none,,,
ZDB-EXP-060918-2,ZECO:0000102,CHEBI:29865,none,none,,,
ZDB-EXP-060918-3,ZECO:0000102,CHEBI:48080,none,none,,,
ZDB-EXP-060918-7,ZECO:0000189,,none,none,,,
ZDB-EXP-060919-5,ZECO:0000189,,none,none,,,
ZDB-EXP-060919-6,ZECO:0000189,,none,none,,,
ZDB-EXP-060922-1,ZECO:0000102,CHEBI:46261,none,none,,,
ZDB-EXP-060926-1,ZECO:0000102,CHEBI:91108,none,none,,,
ZDB-EXP-060928-2,ZECO:0000102,CHEBI:15367,none,none,,,
ZDB-EXP-060928-3,ZECO:0000102,CHEBI:15367,none,none,,,
