genox_zdb_id,genox_exp_zdb_id,genox_is_standard,genox_is_std_or_generic_control,genox_fish_zdb_id
ZDB-GENOX-170712-12,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-11
ZDB-GENOX-170712-13,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-12
ZDB-GENOX-170712-14,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-13
ZDB-GENOX-170712-15,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-22882
ZDB-GENOX-170712-16,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-21902
ZDB-GENOX-170712-17,ZDB-EXP-170711-2,f,f,ZDB-FISH-170712-14
ZDB-GENOX-170712-18,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-15
ZDB-GENOX-170712-19,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-16
ZDB-GENOX-170712-2,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-1
ZDB-GENOX-170712-20,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-17
ZDB-GENOX-170712-21,ZDB-EXP-041102-1,t,t,ZDB-FISH-170712-18
ZDB-GENOX-170712-22,ZDB-EXP-041102-1,t,t,ZDB-FISH-170712-19
ZDB-GENOX-170712-23,ZDB-EXP-041102-1,t,t,ZDB-FISH-170712-20
ZDB-GENOX-170712-3,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-3
ZDB-GENOX-170712-4,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-4
ZDB-GENOX-170712-5,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-5
ZDB-GENOX-170712-6,ZDB-EXP-070511-5,t,t,ZDB-FISH-170712-6
ZDB-GENOX-170712-7,ZDB-EXP-170712-2,f,f,ZDB-FISH-150901-22695
ZDB-GENOX-170712-8,ZDB-EXP-170711-2,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170712-9,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-5581
