alleleid,ensdarg1,ensdarg2
sa39641,ENSDARG00000069754,ENSDARG00000099334
sa24501,ENSDARG00000086944,ENSDARG00000086944
sa30881,ENSDARG00000013390,ENSDARG00000013390
sa9318,ENSDARG00000071140,
sa34769,ENSDARG00000079741,ENSDARG00000079741
sa38912,ENSDARG00000068008,
sa38186,ENSDARG00000089056,
sa23207,ENSDARG00000089599,
sa8729,ENSDARG00000055476,ENSDARG00000055476
sa37376,ENSDARG00000089059,
sa43555,ENSDARG00000068594,
sa38179,ENSDARG00000090446,
sa42096,ENSDARG00000091503,ENSDARG00000091503
sa25545,ENSDARG00000056677,ENSDARG00000056677
sa44150,ENSDARG00000057582,ENSDARG00000057582
sa21410,ENSDARG00000088027,
sa8618,ENSDARG00000029218,
sa42115,ENSDARG00000024748,
sa44344,ENSDARG00000051762,ENSDARG00000051762
sa20603,ENSDARG00000036433,
sa40091,ENSDARG00000087370,
sa19600,ENSDARG00000089358,
sa44404,ENSDARG00000059032,
sa33073,ENSDARG00000079348,ENSDARG00000079348
sa36726,ENSDARG00000088839,
sa39070,ENSDARG00000089170,ENSDARG00000104615
sa38168,ENSDARG00000090766,ENSDARG00000099154
sa33092,ENSDARG00000077651,
sa43026,ENSDARG00000089599,
sa41751,ENSDARG00000078971,
sa42836,ENSDARG00000079894,ENSDARG00000102438
sa21816,ENSDARG00000074962,
sa41623,ENSDARG00000078056,ENSDARG00000078056
sa30841,ENSDARG00000088141,ENSDARG00000088141
sa8489,ENSDARG00000086489,ENSDARG00000086489
sa41086,ENSDARG00000079151,ENSDARG00000101079
sa44424,ENSDARG00000063315,ENSDARG00000103731
sa37668,ENSDARG00000079569,ENSDARG00000079569
sa44414,ENSDARG00000088218,
sa8880,ENSDARG00000067567,ENSDARG00000067567
sa21817,ENSDARG00000079483,ENSDARG00000079483
sa42828,ENSDARG00000067784,ENSDARG00000067784
sa40811,ENSDARG00000029916,ENSDARG00000029916
sa24257,ENSDARG00000087644,ENSDARG00000104883
sa43909,ENSDARG00000073822,ENSDARG00000073822
sa25825,ENSDARG00000074973,
sa41328,ENSDARG00000088027,
sa30349,ENSDARG00000053220,
sa31787,ENSDARG00000077585,
sa36001,ENSDARG00000086671,
sa41061,ENSDARG00000052089,ENSDARG00000052089
sa44401,ENSDARG00000088056,
sa37208,ENSDARG00000057731,ENSDARG00000098909
sa24825,ENSDARG00000086384,
sa33088,ENSDARG00000058836,
sa31352,ENSDARG00000075992,
sa38169,ENSDARG00000069385,
sa36266,ENSDARG00000086404,
sa23406,ENSDARG00000075606,ENSDARG00000075606
sa33091,ENSDARG00000077651,
sa32989,ENSDARG00000091278,
sa40827,ENSDARG00000093050,
sa38218,ENSDARG00000059910,ENSDARG00000100473
sa36236,ENSDARG00000091572,
sa33060,ENSDARG00000067989,ENSDARG00000100700
sa43203,ENSDARG00000090937,
sa39130,ENSDARG00000063300,
sa22380,ENSDARG00000071165,
sa38189,ENSDARG00000039197,
sa43194,ENSDARG00000075152,ENSDARG00000099747
sa39412,ENSDARG00000030766,ENSDARG00000100606
sa41321,ENSDARG00000087726,
sa38796,ENSDARG00000086969,ENSDARG00000086969
sa43565,ENSDARG00000067801,ENSDARG00000067801
sa30368,ENSDARG00000090514,
sa36923,ENSDARG00000075321,
sa44312,ENSDARG00000061421,ENSDARG00000061421
sa39012,ENSDARG00000030638,
sa44068,ENSDARG00000091238,
sa38181,ENSDARG00000088730,
sa38221,ENSDARG00000018406,
sa31750,ENSDARG00000076281,
sa35199,ENSDARG00000058631,ENSDARG00000058631
sa24824,ENSDARG00000090065,
sa43001,ENSDARG00000001937,ENSDARG00000001937
sa42835,ENSDARG00000087903,
sa22732,ENSDARG00000087950,ENSDARG00000087950
sa43124,ENSDARG00000087114,
sa31018,ENSDARG00000074397,ENSDARG00000100757
sa39441,ENSDARG00000076131,ENSDARG00000099162
sa35165,ENSDARG00000076371,ENSDARG00000076371
sa42634,ENSDARG00000077203,ENSDARG00000101186
sa34215,ENSDARG00000077330,ENSDARG00000077330
sa36761,ENSDARG00000057593,
sa38214,ENSDARG00000091844,
sa38171,ENSDARG00000087183,
sa30966,ENSDARG00000088127,
sa36581,ENSDARG00000040406,
sa36024,ENSDARG00000077715,ENSDARG00000077715
sa37304,ENSDARG00000069800,ENSDARG00000069800
sa44413,ENSDARG00000086202,ENSDARG00000101657
sa38363,ENSDARG00000087000,ENSDARG00000103284
sa37194,ENSDARG00000059295,ENSDARG00000100753
sa41921,ENSDARG00000035367,ENSDARG00000035367
sa38658,ENSDARG00000044796,
sa21115,ENSDARG00000077330,ENSDARG00000077330
sa31120,ENSDARG00000073975,
sa39503,ENSDARG00000094054,
sa30159,ENSDARG00000087859,
sa43759,ENSDARG00000078024,ENSDARG00000078024
sa35159,ENSDARG00000036424,ENSDARG00000036424
