GAF Load Error Summary
============================================================
Total errors: 3,317
Unique error categories: 641

Error Counts by Category
------------------------------------------------------------
   2,180  Goref ID is not known or loaded
       1  Cannot add root-term annotation GO:0003674 for marker 'tnni2a.2' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tnni2a.4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tnni2b.1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tnni4a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'traf3ip2a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'trmo' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tspan10' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tspan33a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'tssc4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ttc14' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'txlnbb' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ubash3bb' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ubl4a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ubxn10' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'vcam1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'vmp1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'vps9d1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'xxylt1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ypel1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'zc2hc1a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'zc3hc1' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'zgc:110410' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'zgc:112962' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'zgc:113364' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'zgc:113423' as there are already non-root term annotations existent.
